access_pattern,num_threads,bandwidth
Sequential,1,24.4757
Sequential,2,45.8663
Sequential,3,66.3951
Sequential,4,84.1155
Sequential,5,99.7546
Sequential,6,112.019
Sequential,7,122.037
Sequential,8,127.625
Sequential,9,128.55
Sequential,10,131.485
Sequential,11,132.847
Sequential,12,135.184
Sequential,13,136.683
Sequential,14,142.995
Sequential,15,141.899
Sequential,16,138.569
Sequential,17,141.65
Sequential,18,143.57
Sequential,19,144.115
Sequential,20,142.953
Sequential,21,143.066
Sequential,22,145.178
Sequential,23,142.906
Sequential,24,143.298
Sequential,25,150.318
Sequential,26,142.862
Sequential,27,148.608
Sequential,28,142.43
Sequential,29,146.654
Sequential,30,141.045
Sequential,31,143.581
Sequential,32,146.864
Sequential,33,144.227
Sequential,34,146.238
Sequential,35,150.444
Sequential,36,144.141
Sequential,37,147.327
Sequential,38,145.727
Sequential,39,145.762
Sequential,40,146.509
Sequential,41,146.641
Sequential,42,146.644
Sequential,43,147.046
Sequential,44,146.29
Sequential,45,146.967
Sequential,46,146.97
Sequential,47,147.575
Sequential,48,146.581
Sequential,49,146.897
Sequential,50,146.232
Sequential,51,152.14
Sequential,52,146.866
Sequential,53,147.413
Sequential,54,147.44
Sequential,55,148.088
Sequential,56,142.448
Sequential,57,147.896
Sequential,58,147.519
Sequential,59,148.339
Sequential,60,147.719
Sequential,61,147.576
Sequential,62,147.428
Sequential,63,147.99
Sequential,64,148.445
Sequential,65,148.63
Sequential,66,148.621
Sequential,67,148.558
Sequential,68,147.76
Sequential,69,149.103
Sequential,70,148.372
Sequential,71,147.602
Sequential,72,148.904
Sequential,73,148.949
Sequential,74,149.098
Sequential,75,147.098
Sequential,76,149.376
Sequential,77,149.821
Sequential,78,150.496
Sequential,79,149.594
Sequential,80,149.845
Sequential,81,149.568
Sequential,82,149.619
Sequential,83,148.932
Sequential,84,149.281
Sequential,85,148.821
Sequential,86,149.239
Sequential,87,150.763
Sequential,88,149.894
Sequential,89,148.066
Sequential,90,149.881
Sequential,91,150.184
Sequential,92,149.004
Sequential,93,149.869
Sequential,94,150.081
Sequential,95,150.431
Sequential,96,150.289
Sequential,97,148.958
Sequential,98,149.897
Sequential,99,150.459
Sequential,100,150.495
Sequential,101,150.755
Sequential,102,150.541
Sequential,103,150.896
Sequential,104,149.236
Sequential,105,150.419
Sequential,106,150.821
Sequential,107,150.986
Sequential,108,150.73
Sequential,109,150.935
Sequential,110,149.258
Sequential,111,150.814
Sequential,112,150.394
Sequential,113,150.779
Sequential,114,151.1
Sequential,115,150.242
Sequential,116,150.655
Sequential,117,151.096
Sequential,118,151.003
Sequential,119,151.308
Sequential,120,151.005
Sequential,121,150.21
Sequential,122,151.154
Sequential,123,150.406
Sequential,124,150.912
Sequential,125,151.459
Sequential,126,151.825
Sequential,127,151.784
Sequential,128,151.762
Random,1,2.79037
Random,2,4.64803
Random,3,7.10846
Random,4,8.94636
Random,5,11.5075
Random,6,13.6972
Random,7,16.1832
Random,8,19.0428
Random,9,21.2576
Random,10,22.1526
Random,11,24.2305
Random,12,26.2835
Random,13,28.3851
Random,14,30.455
Random,15,32.1501
Random,16,33.9413
Random,17,35.8726
Random,18,37.7734
Random,19,40.0165
Random,20,40.9785
Random,21,43.3697
Random,22,44.4926
Random,23,45.7991
Random,24,47.0566
Random,25,47.996
Random,26,48.6389
Random,27,48.9198
Random,28,49.6905
Random,29,50.4635
Random,30,49.8918
Random,31,49.8096
Random,32,51.1304
Random,33,51.1021
Random,34,51.9087
Random,35,52.696
Random,36,54.0661
Random,37,52.4711
Random,38,52.4682
Random,39,51.9207
Random,40,52.6476
Random,41,52.8563
Random,42,52.1282
Random,43,53.7692
Random,44,52.1848
Random,45,52.1609
Random,46,54.7341
Random,47,52.1729
Random,48,52.5673
Random,49,54.5921
Random,50,52.3235
Random,51,58.4019
Random,52,61.3183
Random,53,61.322
Random,54,61.5341
Random,55,61.2547
Random,56,61.3956
Random,57,62.1031
Random,58,62.0367
Random,59,61.3212
Random,60,60.5085
Random,61,60.6428
Random,62,60.8124
Random,63,60.7341
Random,64,62.5005
Random,65,61.8691
Random,66,60.1009
Random,67,60.3387
Random,68,60.5261
Random,69,60.5575
Random,70,59.4994
Random,71,59.7664
Random,72,73.6529
Random,73,62.2183
Random,74,59.5615
Random,75,59.3149
Random,76,58.9872
Random,77,62.8114
Random,78,59.5815
Random,79,61.6374
Random,80,59.8587
Random,81,61.3118
Random,82,63.3934
Random,83,60.5603
Random,84,60.235
Random,85,58.8784
Random,86,59.9088
Random,87,60.0921
Random,88,60.3789
Random,89,78.0627
Random,90,59.192
Random,91,59.7059
Random,92,60.2354
Random,93,66.3726
Random,94,58.0351
Random,95,59.386
Random,96,58.2486
Random,97,65.8506
Random,98,58.595
Random,99,58.4387
Random,100,74.7763
Random,101,59.0462
Random,102,59.2876
Random,103,58.5477
Random,104,70.3271
Random,105,61.6389
Random,106,57.8688
Random,107,58.612
Random,108,58.4587
Random,109,58.7332
Random,110,60.2815
Random,111,58.348
Random,112,62.5105
Random,113,75.543
Random,114,57.9621
Random,115,57.6823
Random,116,73.8017
Random,117,58.4714
Random,118,57.8147
Random,119,58.1099
Random,120,59.0503
Random,121,62.6081
Random,122,62.6885
Random,123,57.8498
Random,124,57.792
Random,125,65.4816
Random,126,57.225
Random,127,71.5299
Random,128,62.0446
